,player,team,games,position,recTarg,recRec,recRec40s,recYds,recYds100Games,recTds,recTd40s,recDrops,catch,depth,ypt,ypr,rac,rushCarries,rush40s,rushYds,rushYds100Games,rushTds,rushTd40s,ypc,yac,rushTa,fantasyPts,ptsPerSnap,ptsPerTouch,year
288,James Conner,PIT,13,RB,67,55,0,497,0,1,0,4,82.1,-0.42,7.42,9.04,10.09,215,0,973,5,12,0,4.53,2.87,37,0.9,0.35,0.94,2018
289,D'Onta Foreman,HST,1,RB,2,2,0,28,0,1,0,0,100.0,8.5,14.0,14.0,5.5,7,0,-1,0,0,0,-0.14,0.43,1,82.0,0.31,1.08,2018
290,Kareem Hunt,KC,11,RB,33,26,2,378,1,7,2,3,78.8,1.67,11.45,14.54,13.31,181,1,824,1,7,0,4.55,3.35,43,154.8,0.43,1.05,2018
291,Alvin Kamara,NO,15,RB,98,81,1,709,2,4,0,3,82.7,1.9,7.23,8.75,7.96,194,1,883,1,14,1,4.55,2.75,28,48.5,0.47,1.12,2018
292,Joe Mixon,CIN,14,RB,54,43,0,296,0,1,0,4,79.6,-0.2,5.48,6.88,7.91,236,3,1171,4,8,0,4.96,2.76,29,15.2,0.37,0.8,2018
293,Marcus Williams,NO,6,RB,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,26.7,0.0,0.0,2018
294,Dalvin Cook,MIN,11,RB,48,40,0,305,0,2,0,3,83.3,-2.08,6.35,7.63,9.57,133,1,615,1,2,0,4.62,3.02,29,45.4,0.28,0.79,2018
295,Christian McCaffrey,CAR,16,RB,122,108,0,874,2,6,0,0,88.5,0.87,7.16,8.09,7.97,219,3,1098,4,7,0,5.01,2.92,32,54.3,0.34,1.01,2018
296,Leonard Fournette,JAX,8,RB,25,22,0,185,0,1,0,1,88.0,-1.28,7.4,8.41,10.0,133,0,439,0,5,0,3.3,2.35,17,148.6,0.39,0.71,2018
297,Jalen Richard,OAK,16,RB,77,68,0,607,0,0,0,1,88.3,1.74,7.88,8.93,7.59,55,0,259,0,1,0,4.71,2.95,12,73.3,0.31,1.03,2018
298,Byron Marshall,WAS,6,RB,6,4,0,30,0,0,0,0,66.7,2.0,5.0,7.5,6.75,3,0,9,0,0,0,3.0,1.33,0,81.7,0.13,0.84,2018
299,Brandon Wilds,JAX,3,RB,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6,0,15,0,0,0,2.5,1.17,0,50.5,0.17,0.25,2018
300,J.D. McKissic,SEA,5,RB,1,0,0,0,0,0,0,1,0.0,6.0,0.0,0.0,0.0,3,0,8,0,0,0,2.67,0.67,0,13.6,0.09,0.27,2018
301,Peyton Barber,TB,16,RB,27,20,0,92,0,1,0,2,74.1,1.48,3.41,4.6,3.4,234,0,871,1,5,0,3.72,2.68,43,0.6,0.23,0.56,2018
302,Dwayne Washington,NO,4,RB,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,27,0,154,1,0,0,5.7,2.96,5,62.3,0.33,0.57,2018
303,Darius Jackson,DAL,1,RB,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6,0,16,0,0,0,2.67,2.0,1,1.0,0.09,0.27,2018
304,Alex Collins,BLT,10,RB,17,15,0,105,0,1,0,1,88.2,0.94,6.18,7.0,6.4,114,0,411,0,7,0,3.61,2.26,25,180.2,0.35,0.83,2018
305,Jonathan Williams,IND,3,RB,1,1,0,1,0,0,0,0,100.0,1.0,1.0,1.0,0.0,3,0,0,0,0,0,0.0,0.67,0,59.8,0.03,0.15,2018
306,Wendell Smallwood,PHI,16,RB,32,28,0,230,0,2,0,3,87.5,0.16,7.19,8.21,8.46,87,0,364,0,3,0,4.18,2.6,14,95.8,0.32,0.9,2018
307,Jordan Howard,CHI,16,RB,26,20,0,145,0,0,0,0,76.9,0.19,5.58,7.25,7.1,250,1,935,2,9,0,3.74,2.74,22,267.0,0.28,0.64,2018
308,DeAndre Washington,OAK,10,RB,1,1,0,9,0,0,0,0,100.0,2.0,9.0,9.0,7.0,29,0,111,0,0,0,3.83,2.76,5,222.1,0.18,0.42,2018
309,Devontae Booker,DEN,16,RB,48,38,0,275,0,0,0,1,79.2,2.15,5.73,7.24,6.13,34,0,183,0,1,0,5.38,3.29,3,294.8,0.22,0.98,2018
310,Kenneth Dixon,BLT,6,RB,7,6,0,51,0,0,0,0,85.7,-1.43,7.29,8.5,9.33,60,0,333,1,2,0,5.55,4.0,19,0.0,0.35,0.81,2018
311,Tyler Ervin,HST,5,RB,3,3,0,35,0,0,0,0,100.0,7.33,11.67,11.67,4.33,0,0,0,0,0,0,0.0,0.0,0,62.2,0.06,1.67,2018
312,C.J. Prosise,SEA,4,RB,3,3,0,22,0,0,0,0,100.0,1.67,7.33,7.33,5.67,1,0,-3,0,0,0,-3.0,0.0,0,172.3,0.12,0.85,2018
313,Kenyan Drake,MIA,16,RB,66,53,0,477,0,5,1,5,80.3,2.12,7.23,9.0,8.25,120,1,535,0,4,1,4.46,2.68,28,44.7,0.33,1.05,2018
314,Derrick Henry,TEN,16,RB,18,15,0,99,0,0,0,0,83.3,-0.89,5.5,6.6,7.53,215,2,1059,2,12,2,4.93,4.21,45,126.8,0.49,0.85,2018
315,Ezekiel Elliott,DAL,15,RB,91,77,0,567,0,3,0,4,84.6,0.19,6.23,7.36,7.69,304,1,1434,7,6,0,4.72,3.12,37,124.4,0.33,0.77,2018
316,Rod Smith,DAL,15,RB,11,9,0,60,0,0,0,0,81.8,-1.0,5.45,6.67,6.89,44,0,127,0,1,0,2.89,2.52,3,1.6,0.19,0.55,2018
317,Malcolm Brown,LA,11,RB,6,5,0,52,0,1,0,0,83.3,1.17,8.67,10.4,8.4,43,0,212,0,0,0,4.93,2.98,9,130.5,0.28,0.73,2018
318,Corey Grant,JAX,5,RB,10,9,0,67,0,0,0,0,90.0,-1.9,6.7,7.44,9.11,13,0,40,0,0,0,3.08,2.85,2,82.1,0.23,0.69,2018
319,Raheem Mostert,SF,8,RB,7,6,0,25,0,0,0,0,85.7,-0.71,3.57,4.17,7.33,34,1,261,0,1,1,7.68,4.35,9,209.5,0.42,0.94,2018
320,Zach Zenner,DET,8,RB,10,7,0,56,0,0,0,2,70.0,-0.1,5.6,8.0,9.43,55,0,265,0,3,0,4.82,3.51,5,207.9,0.45,0.86,2018
321,Marcus Murphy,BUF,11,RB,17,11,0,26,0,0,0,2,64.7,0.53,1.53,2.36,3.73,52,0,250,0,0,0,4.81,2.94,11,0.0,0.17,0.53,2018
322,Cameron Artis-Payne,CAR,6,RB,4,3,0,15,0,0,0,0,75.0,-1.75,3.75,5.0,5.67,19,0,69,0,1,0,3.63,2.32,3,269.9,0.33,0.72,2018
323,Jay Ajayi,PHI,4,RB,6,5,0,20,0,0,0,0,83.3,0.5,3.33,4.0,6.2,45,0,184,0,3,0,4.09,2.67,8,411.2,0.34,0.82,2018
324,Bobby McCain,MIA,3,RB,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,223.4,0.0,0.0,2018
325,Mike Davis,SEA,15,RB,42,34,0,214,0,1,0,2,81.0,0.05,5.1,6.29,7.06,112,0,514,1,4,0,4.59,2.94,15,10.4,0.31,0.82,2018
326,Javorius Allen,BLT,13,RB,40,35,0,196,0,2,0,1,87.5,1.05,4.9,5.6,5.43,41,0,110,0,3,0,2.68,2.22,4,64.8,0.25,1.03,2018
327,Jeremy Langford,ATL,1,RB,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9,0,25,0,0,0,2.78,2.22,1,5.8,0.16,0.28,2018
328,Ty Montgomery,BLT,13,RB,36,25,1,235,0,0,0,1,69.4,1.64,6.53,9.4,8.8,41,0,188,0,1,0,4.59,2.98,8,0.0,0.23,0.92,2018
329,David Johnson,ARZ,16,RB,70,50,1,446,0,3,0,7,71.4,0.6,6.37,8.92,7.94,258,1,940,1,7,0,3.64,2.38,22,8.6,0.3,0.73,2018
330,Duke Johnson Jr.,CLV,16,RB,61,47,0,429,0,3,0,3,77.0,2.48,7.03,9.13,8.09,40,0,201,0,0,0,5.03,4.13,12,66.8,0.23,1.2,2018
331,Tevin Coleman,ATL,16,RB,40,32,0,276,0,5,0,2,80.0,1.25,6.9,8.63,8.53,167,2,800,2,4,1,4.79,2.91,17,108.5,0.31,0.89,2018
332,Ameer Abdullah,MIN,6,RB,4,3,0,28,0,0,0,0,75.0,3.25,7.0,9.33,10.0,1,0,1,0,0,0,1.0,1.0,0,0.9,0.26,1.1,2018
333,T.J. Yeldon,JAX,14,RB,70,55,0,487,0,4,0,8,78.6,0.87,6.96,8.85,8.09,104,0,414,0,1,0,3.98,2.65,11,7.1,0.29,0.93,2018
334,Melvin Gordon III,LAC,12,RB,61,50,1,490,1,4,1,7,82.0,-0.16,8.03,9.8,10.74,175,0,885,3,10,0,5.06,2.83,41,37.9,0.47,1.1,2018
335,Todd Gurley II,LA,14,RB,76,59,1,580,0,4,0,7,77.6,0.63,7.63,9.83,9.93,256,0,1251,6,17,0,4.89,3.21,31,19.0,0.41,1.07,2018
336,Isaiah Crowell,NYJ,13,RB,26,21,0,152,0,0,0,2,80.8,-0.92,5.85,7.24,8.38,143,3,685,2,6,2,4.79,3.27,21,106.4,0.39,0.79,2018
337,Damien Williams,KC,12,RB,24,23,0,160,0,2,0,0,95.8,-1.88,6.67,6.96,9.48,50,0,256,1,4,0,5.12,2.52,7,4.3,0.43,1.22,2018
338,David Fluellen,TEN,2,RB,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4,0,16,0,0,0,4.0,1.75,0,103.9,0.27,0.4,2018
339,Charcandrick West,KC,3,RB,3,2,0,37,0,1,0,0,66.7,6.33,12.33,18.5,12.0,2,0,-1,0,0,0,-0.5,1.0,1,9.6,0.35,2.65,2018
340,Kapri Bibbs,GB,10,RB,21,16,0,115,0,1,0,1,76.2,1.67,5.48,7.19,6.75,21,0,103,0,3,0,4.9,2.33,3,3.1,0.3,1.45,2018
341,Alfred Blue,HST,16,RB,24,20,0,154,0,0,0,1,83.3,2.63,6.42,7.7,5.5,150,0,499,0,2,0,3.33,2.4,12,25.8,0.19,0.51,2018
342,James White,NE,16,RB,116,87,1,751,0,7,0,5,75.0,2.38,6.47,8.63,7.85,94,0,425,0,5,0,4.52,2.0,5,188.7,0.39,1.29,2018
343,Devonta Freeman,ATL,2,RB,7,5,0,23,0,0,0,1,71.4,0.29,3.29,4.6,4.0,14,0,68,0,0,0,4.86,2.21,0,291.5,0.17,0.61,2018
344,Carlos Hyde,JAX,14,RB,15,10,0,33,0,0,0,2,66.7,-0.67,2.2,3.3,5.8,172,0,571,0,5,0,3.32,2.36,25,0.0,0.25,0.52,2018
345,Jeremy Hill,NE,1,RB,1,1,0,6,0,0,0,0,100.0,1.0,6.0,6.0,5.0,4,0,25,0,0,0,6.25,1.5,0,288.6,0.3,0.72,2018
346,Benny Cunningham,CHI,9,RB,2,1,0,9,0,0,0,0,50.0,-4.0,4.5,9.0,14.0,11,0,20,0,0,0,1.82,2.18,0,0.0,0.09,0.28,2018
347,C.J. Anderson,LA,11,RB,7,5,0,41,0,1,0,2,71.4,0.0,5.86,8.2,8.6,67,1,403,2,2,0,6.01,3.84,10,58.1,0.43,0.9,2018
348,Theo Riddick,DET,14,RB,74,61,0,384,0,0,0,5,82.4,0.58,5.19,6.3,6.79,40,0,171,0,0,0,4.28,2.45,6,162.2,0.21,0.85,2018
349,Spencer Ware,KC,13,RB,22,20,0,224,0,0,0,2,90.9,-0.86,10.18,11.2,12.5,51,0,246,0,2,0,4.82,2.78,9,2.7,0.28,0.97,2018
350,Rex Burkhead,NE,8,RB,19,14,0,131,0,1,0,0,73.7,3.0,6.89,9.36,8.64,57,0,186,0,0,0,3.26,2.3,5,0.0,0.3,0.63,2018
351,Kenjon Barner,CAR,6,RB,1,1,0,3,0,0,0,0,100.0,2.0,3.0,3.0,1.0,19,0,71,0,0,0,3.74,1.84,4,3.0,0.17,0.4,2018
352,Latavius Murray,MIN,16,RB,25,22,0,141,0,0,0,0,88.0,1.08,5.64,6.41,5.5,140,0,578,1,6,0,4.13,2.89,14,8.4,0.26,0.73,2018
353,Mike Gillislee,NO,4,RB,1,1,0,9,0,0,0,0,100.0,0.0,9.0,9.0,9.0,16,0,43,0,0,0,2.69,2.19,4,11.0,0.23,0.34,2018
354,Chris Thompson,WAS,10,RB,52,41,0,268,0,1,0,3,78.8,1.06,5.15,6.54,5.56,43,0,178,0,0,0,4.14,2.53,7,25.8,0.23,0.85,2018
355,Christine Michael,IND,1,RB,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2,0,9,0,0,0,4.5,4.5,1,125.5,0.3,0.45,2018
356,Giovani Bernard,CIN,12,RB,41,35,0,218,0,0,0,2,85.4,0.15,5.32,6.23,6.77,56,0,211,0,3,0,3.77,2.55,3,134.0,0.24,0.86,2018
357,Harrison Smith,MIN,6,RB,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,124.9,0.0,0.0,2018
358,Brandon Bolden,MIA,6,RB,3,3,0,13,0,1,0,0,100.0,-2.0,4.33,4.33,6.33,8,1,91,0,2,1,11.38,1.5,2,33.8,1.15,2.72,2018
359,Travaris Cadet,CAR,1,RB,1,1,0,5,0,0,0,0,100.0,1.0,5.0,5.0,4.0,11,0,17,0,0,0,1.55,1.73,0,25.2,0.11,0.23,2018
360,Alfred Morris,SF,11,RB,10,8,0,73,0,0,0,0,80.0,1.0,7.3,9.13,7.88,111,1,428,1,2,0,3.86,2.94,10,165.8,0.26,0.56,2018
361,Robert Turbin,IND,2,RB,1,1,0,3,0,0,0,0,100.0,2.0,3.0,3.0,1.0,4,0,10,0,0,0,2.5,1.75,0,205.9,0.08,0.36,2018
362,Lamar Miller,HST,14,RB,34,25,0,163,0,1,0,1,73.5,0.79,4.79,6.52,7.04,210,2,973,4,5,1,4.63,3.24,31,128.1,0.26,0.69,2018
363,Akiem Hicks,CHI,2,RB,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,1.0,0.0,0,0.9,2.03,6.1,2018
364,Doug Martin,OAK,16,RB,23,18,0,116,0,0,0,1,78.3,0.91,5.04,6.44,5.56,172,0,723,2,4,0,4.2,2.72,22,162.8,0.33,0.62,2018
365,Dion Lewis,TEN,16,RB,67,59,0,400,0,1,0,3,88.1,-1.28,5.97,6.78,8.32,155,0,517,0,1,0,3.34,2.47,31,172.1,0.22,0.62,2018
366,Jacquizz Rodgers,TB,16,RB,43,38,0,304,1,0,0,0,88.4,1.67,7.07,8.0,6.37,33,0,106,0,1,0,3.21,2.12,3,152.2,0.18,0.93,2018
367,Bilal Powell,NYJ,7,RB,17,11,0,110,0,1,0,0,64.7,4.94,6.47,10.0,7.64,80,0,343,0,0,0,4.29,2.76,9,4.3,0.27,0.62,2018
368,Taiwan Jones,BUF,3,RB,2,0,0,0,0,0,0,0,0.0,13.5,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2018
369,Stevan Ridley,PIT,9,RB,4,3,0,18,0,0,0,0,75.0,2.75,4.5,6.0,3.33,29,0,80,0,1,0,2.76,2.97,1,9.8,0.28,0.54,2018
370,Mark Ingram II,NO,12,RB,25,21,0,170,0,1,0,1,84.0,0.64,6.8,8.1,7.29,138,0,645,2,6,0,4.67,3.2,23,89.6,0.38,0.84,2018
371,Chris Ivory,BUF,13,RB,20,13,2,205,0,0,0,3,65.0,-0.25,10.25,15.77,15.77,115,0,385,0,1,0,3.35,2.82,17,8.0,0.24,0.56,2018
372,LeGarrette Blount,DET,16,RB,14,10,0,67,0,0,0,2,71.4,-1.57,4.79,6.7,8.9,154,0,418,0,5,0,2.71,2.16,15,140.2,0.3,0.51,2018
373,LeSean McCoy,BUF,14,RB,41,34,0,238,0,0,0,3,82.9,-0.95,5.8,7.0,8.65,161,0,514,1,3,0,3.19,2.01,17,72.6,0.22,0.57,2018
374,Jamaal Charles,JAX,2,RB,3,2,0,7,0,0,0,1,66.7,1.33,2.33,3.5,2.5,6,0,7,0,0,0,1.17,1.17,0,0.0,0.12,0.3,2018
375,Jonathan Stewart,NYG,3,RB,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6,0,17,0,0,0,2.83,2.0,0,182.0,0.1,0.28,2018
376,Marshawn Lynch,OAK,6,RB,19,15,0,84,0,0,0,4,78.9,-0.47,4.42,5.6,6.33,90,1,376,1,3,0,4.18,3.46,24,55.4,0.34,0.68,2018
377,Adrian Peterson,WAS,16,RB,25,20,1,208,0,1,0,1,80.0,0.0,8.32,10.4,10.35,251,3,1042,3,7,2,4.15,3.0,45,0.4,0.38,0.68,2018
378,Darren Sproles,PHI,6,RB,22,15,0,160,0,2,0,2,68.2,1.0,7.27,10.67,8.87,29,0,120,0,1,0,4.14,3.07,3,55.8,0.36,1.22,2018
379,Frank Gore,MIA,14,RB,16,12,0,124,0,1,0,0,75.0,1.06,7.75,10.33,9.92,156,0,722,1,0,0,4.63,3.29,23,29.7,0.29,0.57,2018
380,Patrick Ricard,BLT,10,RB,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,5.4,0.0,0.0,2018
381,Sam Hubbard,CIN,7,RB,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,229.5,0.0,0.0,2018
382,Ricky Ortiz,ATL,12,RB,3,3,0,11,0,0,0,0,100.0,-0.67,3.67,3.67,4.33,0,0,0,0,0,0,0.0,0.0,0,108.6,0.02,0.87,2018
383,Bilal Nichols,CHI,1,RB,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,9.4,0.0,0.0,2018
384,Buddy Howell,HST,3,RB,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,142.5,0.0,0.0,2018
385,Dare Ogunbowale,TB,1,RB,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2018
386,Shane Smith,NYG,2,RB,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,12.0,0.0,0.0,2018
387,Alex Armah,CAR,16,RB,1,1,0,5,0,0,0,0,100.0,0.0,5.0,5.0,5.0,9,0,15,0,2,0,1.67,1.22,0,88.4,0.13,1.45,2018
388,Ryan Anderson,WAS,8,RB,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2018
389,C.J. Ham,MIN,15,RB,14,11,0,85,0,0,0,1,78.6,0.21,6.07,7.73,7.73,6,0,8,0,0,0,1.33,1.0,0,14.7,0.11,0.87,2018
390,Elijhaa Penny,NYG,13,RB,9,8,0,50,0,0,0,0,88.9,0.11,5.56,6.25,6.63,7,0,25,0,0,0,3.57,2.14,2,1.3,0.09,0.77,2018
391,Tre Madden,SEA,14,RB,3,2,0,35,0,0,0,0,66.7,7.0,11.67,17.5,9.5,3,0,3,0,0,0,1.0,0.67,0,12.2,0.06,0.96,2018
392,Tra Carson,GB,2,RB,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2018
393,Rob Kelley,WAS,2,RB,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4,0,8,0,0,0,2.0,2.0,0,0.0,0.09,0.2,2018
394,Derek Watt,LAC,16,RB,1,1,0,2,0,0,0,0,100.0,2.0,2.0,2.0,0.0,4,0,11,0,0,0,2.75,1.75,1,0.9,0.01,0.36,2018
395,Danny Vitale,GB,5,RB,2,1,0,2,0,0,0,0,50.0,3.5,1.0,2.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.04,0.7,2018
396,Andy Janovich,DEN,16,RB,9,8,0,112,0,1,0,0,88.9,5.56,12.44,14.0,8.13,2,0,5,0,0,0,2.5,1.0,0,15.1,0.09,2.17,2018
397,Jonathan Bullard,CHI,1,RB,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,2018
398,Roosevelt Nix,PIT,15,RB,5,4,0,38,0,0,0,0,80.0,1.8,7.6,9.5,10.5,1,0,4,0,0,0,4.0,5.0,1,3.7,0.06,1.24,2018
399,Michael Burton,CHI,8,RB,1,1,0,6,0,0,0,0,100.0,1.0,6.0,6.0,5.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.02,1.1,2018
400,Keith Smith,OAK,16,RB,7,5,0,23,0,0,0,1,71.4,2.29,3.29,4.6,3.8,1,0,0,0,0,0,0.0,0.0,0,8.7,0.03,0.8,2018
401,Zach Line,NO,16,RB,10,5,0,14,0,2,0,3,50.0,2.2,1.4,2.8,2.0,9,0,41,0,0,0,4.56,2.56,1,3.3,0.09,1.43,2018
402,Tommy Bohanon,JAX,16,RB,8,6,0,41,0,0,0,0,75.0,1.5,5.13,6.83,5.5,1,0,0,0,0,0,0.0,1.0,0,0.0,0.04,1.01,2018
403,Kyle Juszczyk,SF,16,RB,37,30,1,324,0,1,0,1,81.1,4.86,8.76,10.8,5.9,8,0,30,0,0,0,3.75,2.38,1,31.1,0.09,1.48,2018
404,Jamize Olawale,DAL,16,RB,4,2,0,13,0,0,0,1,50.0,0.75,3.25,6.5,6.0,0,0,0,0,0,0,0.0,0.0,0,10.3,0.02,1.15,2018
405,Derrick Coleman,ARZ,16,RB,3,2,0,17,0,0,0,0,66.7,9.33,5.67,8.5,4.0,2,0,3,0,0,0,1.5,1.0,0,11.7,0.04,0.75,2018
406,Melvin Ingram III,LAC,1,RB,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0,13.5,0.0,0.0,2018
407,Patrick DiMarco,BUF,16,RB,4,3,0,62,0,0,0,0,75.0,6.75,15.5,20.67,11.33,1,0,9,0,0,0,9.0,3.0,0,12.8,0.05,2.15,2018
408,Nick Bellore,DET,14,RB,4,4,0,15,0,0,0,0,100.0,0.25,3.75,3.75,3.5,1,0,0,0,0,0,0.0,0.0,0,0.0,0.03,0.7,2018
409,Anthony Sherman,KC,16,RB,9,8,0,96,0,1,0,1,88.9,4.44,10.67,12.0,7.38,1,0,2,0,0,0,2.0,1.0,0,1.4,0.2,2.2,2018
410,James Develin,NE,16,RB,17,12,0,61,0,0,0,0,70.6,2.24,3.59,5.08,3.25,6,0,8,0,4,0,1.33,0.67,0,0.0,0.09,2.05,2018
411,Earl Mitchell,SF,3,RB,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,2.6,0.0,0.0,2018
412,Kyle Williams,BUF,1,RB,1,1,0,9,0,0,0,0,100.0,-1.0,9.0,9.0,10.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.7,1.4,2018
413,Anthony Firkser,TEN,12,TE,20,19,0,225,0,1,0,0,95.0,6.5,11.25,11.84,5.26,0,0,0,0,0,0,0.0,0.0,0,8.6,0.21,2.0,2018
414,Matt Flanagan,WAS,3,TE,1,1,0,14,0,0,0,0,100.0,6.0,14.0,14.0,8.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.03,1.9,2018
415,Garrett Dickerson,NYG,2,TE,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,40.6,0.0,0.0,2018
416,Donnie Ernsberger,TB,2,TE,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2018
417,Jordan Franks,CIN,5,TE,3,2,0,37,0,0,0,0,66.7,15.0,12.33,18.5,7.0,0,0,0,0,0,0,0.0,0.0,0,46.4,0.28,2.35,2018
418,Chris Herndon,NYJ,16,TE,54,39,0,502,0,4,0,2,72.2,10.57,9.3,12.87,4.79,0,0,0,0,0,0,0.0,0.0,0,7.3,0.15,2.4,2018
419,Mike Gesicki,MIA,16,TE,31,22,0,202,0,0,0,0,71.0,8.81,6.52,9.18,4.59,0,0,0,0,0,0,0.0,0.0,0,9.3,0.08,1.42,2018
420,Will Dissly,SEA,4,TE,12,8,1,156,1,2,0,0,66.7,11.5,13.0,19.5,12.0,0,0,0,0,0,0,0.0,0.0,0,4.1,0.25,3.95,2018
421,Blake Jarwin,DAL,16,TE,35,27,0,307,1,3,0,3,77.1,8.86,8.77,11.37,4.19,0,0,0,0,0,0,0.0,0.0,0,0.3,0.16,2.3,2018
422,Sean Culkin,LAC,13,TE,1,1,0,24,0,0,0,0,100.0,21.0,24.0,24.0,3.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.02,2.9,2018
423,Mason Schreck,CIN,3,TE,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,13.6,0.0,0.0,2018
424,Roy Robertson-Harris,CHI,2,TE,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,19.6,0.0,0.0,2018
425,Alex Ellis,KC,2,TE,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,3.5,0.0,0.0,2018
426,David Grinnage,JAX,4,TE,8,6,0,61,0,0,0,1,75.0,9.0,7.63,10.17,2.83,0,0,0,0,0,0,0.0,0.0,0,3.6,0.12,1.52,2018
427,Joshua Perkins,PHI,8,TE,11,5,0,67,0,0,0,2,45.5,11.36,6.09,13.4,3.4,0,0,0,0,0,0,0.0,0.0,0,12.8,0.1,1.84,2018
428,Rico Gathers,DAL,15,TE,7,3,0,45,0,0,0,0,42.9,11.0,6.43,15.0,9.33,0,0,0,0,0,0,0.0,0.0,0,1.1,0.04,2.0,2018
429,Gabe Holmes,ARZ,8,TE,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,5.5,0.0,0.0,2018
430,Neal Sterling,NYJ,5,TE,7,6,0,47,0,0,0,0,85.7,4.86,6.71,7.83,4.83,0,0,0,0,0,0,0.0,0.0,0,1.0,0.06,1.28,2018
431,Nick O'Leary,MIA,12,TE,10,8,0,86,0,1,0,0,80.0,3.7,8.6,10.75,8.38,0,0,0,0,0,0,0.0,0.0,0,8.3,0.05,2.33,2018
432,James O'Shaughnessy,JAX,14,TE,35,24,0,214,0,0,0,1,68.6,6.49,6.11,8.92,4.96,0,0,0,0,0,0,0.0,0.0,0,19.8,0.06,1.39,2018
433,Blake Bell,JAX,10,TE,9,8,0,67,0,0,0,0,88.9,5.67,7.44,8.38,4.75,0,0,0,0,0,0,0.0,0.0,0,2.3,0.05,1.34,2018
434,Erik Swoope,IND,7,TE,10,8,0,87,0,3,0,0,80.0,11.2,8.7,10.88,1.75,0,0,0,0,0,0,0.0,0.0,0,0.9,0.39,3.84,2018
435,Xavier Grimble,PIT,15,TE,7,6,0,86,0,0,0,0,85.7,4.71,12.29,14.33,9.17,0,0,0,0,0,0,0.0,0.0,0,6.5,0.07,1.93,2018
436,Logan Thomas,BUF,12,TE,16,12,0,77,0,0,0,1,75.0,8.69,4.81,6.42,2.67,0,0,0,0,0,0,0.0,0.0,0,28.6,0.05,1.14,2018
