,player,team,games,position,recTarg,recRec,recRec40s,recYds,recYds100Games,recTds,recTd40s,recDrops,catch,depth,ypt,ypr,rac,rushCarries,rush40s,rushYds,rushYds100Games,rushTds,rushTd40s,ypc,yac,rushTa,fantasyPts,ptsPerSnap,ptsPerTouch,year
48,Phillip Dorsett,NE,16,WR,43,32,0,290,0,3,0,2,74.4,12.12,6.74,9.06,3.19,4,0,29,0,0,0,7.25,2.0,0,4.5,0.17,1.83,2018
49,Kevin White,CHI,9,WR,8,4,1,92,0,0,0,0,50.0,23.13,11.5,23.0,1.0,0,0,0,0,0,0,0.0,0.0,0,134.2,0.07,2.8,2018
50,Allen Hurns,DAL,16,WR,33,20,1,295,0,2,0,1,60.6,14.52,8.94,14.75,4.0,0,0,0,0,0,0,0.0,0.0,0,2.4,0.11,2.58,2018
51,Quincy Enunwa,NYJ,11,WR,62,38,2,449,0,1,0,6,61.3,8.23,7.24,11.82,7.47,1,0,0,0,0,0,0.0,4.0,1,4.3,0.13,1.79,2018
52,De'Anthony Thomas,KC,5,WR,5,3,0,29,0,1,0,0,60.0,14.6,5.8,9.67,10.0,1,0,6,0,0,0,6.0,1.0,0,28.4,0.31,2.75,2018
53,Martavis Bryant,OAK,8,WR,26,19,1,266,0,0,0,2,73.1,11.96,10.23,14.0,6.95,3,0,23,0,0,0,7.67,3.0,1,181.9,0.17,1.75,2018
54,Cody Latimer,NYG,6,WR,16,11,0,190,0,1,0,0,68.8,19.94,11.88,17.27,2.36,0,0,0,0,0,0,0.0,0.0,0,300.1,0.15,2.77,2018
55,Davante Adams,GB,15,WR,162,111,5,1386,5,13,0,5,68.5,11.69,8.56,12.49,4.3,0,0,0,0,0,0,0.0,0.0,0,0.0,0.29,2.45,2018
56,Jordan Matthews,PHI,14,WR,26,20,1,300,0,2,1,1,76.9,11.0,11.54,15.0,3.9,0,0,0,0,0,0,0.0,0.0,0,109.5,0.15,2.6,2018
57,Kelvin Benjamin,KC,15,WR,64,25,1,380,0,1,0,5,39.1,16.59,5.94,15.2,2.2,0,0,0,0,0,0,0.0,0.0,0,122.1,0.11,2.26,2018
58,Brandin Cooks,LA,16,WR,110,80,4,1204,5,5,1,1,72.7,13.2,10.95,15.05,4.4,10,0,68,0,1,0,6.8,1.4,0,2.7,0.21,2.26,2018
59,Mike Evans,TB,16,WR,135,86,6,1524,8,8,3,7,63.7,16.55,11.29,17.72,3.42,0,0,0,0,0,0,0.0,0.0,0,57.9,0.26,2.83,2018
60,Jaron Brown,SEA,16,WR,18,14,1,166,0,5,0,0,77.8,14.67,9.22,11.86,3.36,0,0,0,0,0,0,0.0,0.0,0,186.8,0.15,3.83,2018
61,Nick Williams,LA,4,WR,5,2,0,17,0,0,0,1,40.0,9.0,3.4,8.5,2.5,0,0,0,0,0,0,0.0,0.0,0,4.7,0.04,1.35,2018
62,Terrance Williams,DAL,3,WR,2,2,0,18,0,0,0,0,100.0,5.5,9.0,9.0,3.5,0,0,0,0,0,0,0.0,0.0,0,86.3,0.07,1.4,2018
63,DeAndre Hopkins,HST,16,WR,159,115,4,1572,7,11,2,0,72.3,12.21,9.89,13.67,3.37,1,0,-7,0,0,0,-7.0,0.0,0,120.1,0.26,2.41,2018
64,Josh Gordon,NE,12,WR,67,41,3,737,2,4,1,5,61.2,14.37,11.0,17.98,6.51,0,0,0,0,0,0,0.0,0.0,0,74.5,0.19,2.88,2018
65,Rod Streater,CLV,2,WR,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,-11,0,0,0,-11.0,0.0,0,49.6,-0.05,-1.1,2018
66,Rishard Matthews,NYJ,7,WR,9,5,0,24,0,0,0,0,55.6,5.0,2.67,4.8,1.0,0,0,0,0,0,0,0.0,0.0,0,3.8,0.03,0.98,2018
67,T.Y. Hilton,IND,14,WR,116,76,6,1270,5,6,1,4,65.5,11.58,10.95,16.71,5.88,0,0,0,0,0,0,0.0,0.0,0,195.9,0.26,2.64,2018
68,Alshon Jeffery,PHI,13,WR,90,65,2,843,2,6,0,5,72.2,10.96,9.37,12.97,4.15,0,0,0,0,0,0,0.0,0.0,0,171.2,0.2,2.35,2018
69,Brian Quick,WAS,5,WR,3,3,0,18,0,0,0,0,100.0,5.33,6.0,6.0,0.67,0,0,0,0,0,0,0.0,0.0,0,96.5,0.04,1.1,2018
70,Dontrelle Inman,IND,9,WR,38,28,0,304,0,3,0,3,73.7,11.16,8.0,10.86,2.07,0,0,0,0,0,0,0.0,0.0,0,165.5,0.17,2.23,2018
71,Chris Hogan,NE,16,WR,51,35,2,532,0,3,1,2,68.6,13.1,10.43,15.2,5.51,0,0,0,0,0,0,0.0,0.0,0,197.2,0.11,2.53,2018
72,Julio Jones,ATL,16,WR,166,113,2,1677,10,8,0,8,68.1,14.27,10.1,14.84,4.0,2,0,12,0,0,0,6.0,8.0,1,112.5,0.33,2.38,2018
73,Antonio Brown,PIT,15,WR,164,104,6,1297,5,15,4,1,63.4,11.65,7.91,12.47,4.75,0,0,0,0,0,0,0.0,0.0,0,212.3,0.27,2.61,2018
74,Mike Wallace,PHI,2,WR,3,0,0,0,0,0,0,0,0.0,35.67,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,3.0,0.0,0.0,2018
75,Michael Crabtree,BLT,16,WR,98,54,0,607,0,3,0,11,55.1,11.0,6.19,11.24,2.52,0,0,0,0,0,0,0.0,0.0,0,102.6,0.13,1.96,2018
76,Darrius Heyward-Bey,PIT,14,WR,2,1,0,9,0,0,0,0,50.0,17.0,4.5,9.0,10.0,1,0,-7,0,0,0,-7.0,1.0,0,94.6,0.01,0.35,2018
77,Ted Ginn Jr.,NO,5,WR,29,17,1,209,0,2,0,2,58.6,17.72,7.21,12.29,2.82,3,0,26,0,0,0,8.67,1.33,1,100.7,0.22,2.2,2018
78,Brandon Zylstra,MIN,9,WR,2,1,0,23,0,0,0,0,50.0,26.0,11.5,23.0,8.0,0,0,0,0,0,0,0.0,0.0,0,224.6,0.16,2.8,2018
79,DaeSean Hamilton,DEN,14,WR,45,30,0,243,0,2,0,2,66.7,8.69,5.4,8.1,2.37,0,0,0,0,0,0,0.0,0.0,0,0.0,0.11,1.71,2018
80,Da'Mari Scott,BUF,1,WR,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,35.4,0.0,0.0,2018
81,Trey Quinn,WAS,3,WR,10,9,0,75,0,1,0,0,90.0,7.3,7.5,8.33,2.22,1,0,0,0,0,0,0.0,0.0,0,86.5,0.17,1.8,2018
82,Jawill Davis,NYG,5,WR,8,4,0,40,0,0,0,0,50.0,17.25,5.0,10.0,1.0,0,0,0,0,0,0,0.0,0.0,0,2.5,0.1,1.5,2018
83,Isaiah Ford,MIA,1,WR,1,0,0,0,0,0,0,0,0.0,5.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,10.0,0.0,0.0,2018
84,Trent Taylor,SF,14,WR,38,26,0,215,0,1,0,2,68.4,6.55,5.66,8.27,3.96,0,0,0,0,0,0,0.0,0.0,0,9.9,0.13,1.56,2018
85,Dede Westbrook,JAX,16,WR,96,66,1,717,1,5,1,6,68.8,9.13,7.47,10.86,5.5,9,1,98,0,0,0,10.89,2.22,3,43.8,0.18,1.93,2018
86,Cooper Kupp,LA,8,WR,49,40,3,566,1,6,3,2,81.6,8.76,11.55,14.15,7.6,4,0,25,0,0,0,6.25,2.5,0,48.9,0.26,2.62,2018
87,Tommylee Lewis,NO,6,WR,3,3,0,60,0,1,0,0,100.0,20.67,20.0,20.0,0.0,2,0,10,0,0,0,5.0,4.0,1,49.7,0.21,2.9,2018
88,Alex Erickson,CIN,15,WR,28,20,0,167,0,0,0,1,71.4,9.71,5.96,8.35,3.3,3,0,22,0,0,0,7.33,2.67,0,3.7,0.08,1.26,2018
89,Tyreek Hill,KC,16,WR,129,87,8,1479,6,12,4,5,67.4,15.51,11.47,17.0,6.02,22,0,151,0,1,0,6.86,1.05,2,0.0,0.31,2.61,2018
90,Darius Jennings,TEN,16,WR,15,11,0,101,0,0,0,1,73.3,10.73,6.73,9.18,3.55,1,0,2,0,0,0,2.0,3.0,0,2.1,0.09,1.32,2018
91,Cameron Meredith,NO,6,WR,10,9,1,114,0,1,0,0,90.0,10.1,11.4,12.67,4.11,0,0,0,0,0,0,0.0,0.0,0,0.6,0.17,2.43,2018
92,DeAndre Carter,HST,11,WR,24,22,1,216,0,0,0,0,91.7,2.71,9.0,9.82,7.36,1,0,7,0,0,0,7.0,6.0,1,0.0,0.12,1.45,2018
93,Seth Roberts,OAK,15,WR,60,45,1,494,0,2,0,3,75.0,8.82,8.23,10.98,5.02,3,0,5,0,0,0,1.67,0.67,0,45.9,0.15,1.76,2018
94,Jarvis Landry,CLV,16,WR,137,81,2,976,4,4,2,6,59.1,11.29,7.12,12.05,3.49,3,1,60,0,1,0,20.0,9.0,1,49.8,0.18,2.07,2018
95,Sammy Watkins,KC,10,WR,53,40,2,519,2,3,0,2,75.5,8.91,9.79,12.97,5.88,5,0,52,0,0,0,10.4,9.0,5,119.7,0.21,2.11,2018
96,Keenan Allen,LAC,16,WR,125,97,1,1196,3,6,0,3,77.6,9.45,9.57,12.33,4.14,9,0,75,0,0,0,8.33,2.56,2,159.3,0.27,2.0,2018
97,Cole Beasley,DAL,16,WR,85,65,0,672,1,3,0,2,76.5,7.53,7.91,10.34,3.32,0,0,0,0,0,0,0.0,0.0,0,84.9,0.17,1.81,2018
98,Doug Baldwin,SEA,13,WR,73,50,2,618,1,5,0,1,68.5,12.41,8.47,12.36,3.26,0,0,0,0,0,0,0.0,0.0,0,68.0,0.16,2.34,2018
99,Dwayne Harris,OAK,12,WR,6,6,0,40,0,0,0,0,100.0,-1.0,6.67,6.67,7.67,2,0,12,0,0,0,6.0,3.5,1,29.0,0.15,1.02,2018
100,Jeremy Kerley,BUF,1,WR,4,2,0,7,0,0,0,0,50.0,4.5,1.75,3.5,6.5,0,0,0,0,0,0,0.0,0.0,0,79.6,0.04,0.85,2018
101,Randall Cobb,GB,9,WR,57,38,1,383,1,2,1,4,66.7,8.02,6.72,10.08,6.32,0,0,0,0,0,0,0.0,0.0,0,1.6,0.15,1.82,2018
102,Blaine Clausell,ARZ,1,OL,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,209.5,0.0,0.0,2018
103,Brandon Powell,DET,5,WR,17,11,1,129,1,0,0,0,64.7,3.0,7.59,11.73,10.64,1,0,4,0,0,0,4.0,2.0,0,10.7,0.19,1.57,2018
104,Riley McCarron,NE,1,WR,1,0,0,0,0,0,0,0,0.0,27.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,4.2,0.0,0.0,2018
105,Equanimeous St. Brown,GB,11,WR,34,21,1,328,0,0,0,0,61.8,14.38,9.65,15.62,5.52,1,0,5,0,0,0,5.0,5.0,1,104.8,0.12,1.99,2018
106,Ray-Ray McCloud III,BUF,10,WR,6,5,0,36,0,0,0,1,83.3,2.0,6.0,7.2,5.4,2,0,4,0,0,0,2.0,2.5,0,0.0,0.05,0.93,2018
107,Keke Coutee,HST,6,WR,38,28,1,287,1,1,0,3,73.7,4.66,7.55,10.25,7.54,3,0,0,0,0,0,0.0,1.67,0,6.7,0.18,1.57,2018
108,Cam Phillips,BUF,2,WR,1,1,0,9,0,0,0,0,100.0,3.0,9.0,9.0,6.0,0,0,0,0,0,0,0.0,0.0,0,7.1,0.05,1.4,2018
109,Janarion Grant,BLT,1,WR,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,103.5,0.0,0.0,2018
110,Deontay Burnett,NYJ,5,WR,15,10,0,143,0,0,0,1,66.7,11.47,9.53,14.3,2.4,0,0,0,0,0,0,0.0,0.0,0,18.8,0.15,1.93,2018
111,Chad Beebe,MIN,3,WR,4,4,0,39,0,0,0,0,100.0,6.5,9.75,9.75,3.25,0,0,0,0,0,0,0.0,0.0,0,0.0,0.13,1.48,2018
112,Austin Carr,NO,14,WR,13,9,0,97,0,2,0,0,69.2,10.38,7.46,10.78,2.67,0,0,0,0,0,0,0.0,0.0,0,0.0,0.1,2.91,2018
113,Tim White,BLT,1,WR,1,1,0,14,0,0,0,0,100.0,14.0,14.0,14.0,0.0,0,0,0,0,0,0,0.0,0.0,0,14.5,0.95,1.9,2018
114,Isaiah McKenzie,BUF,8,WR,29,18,0,179,0,0,0,1,62.1,8.14,6.17,9.94,4.06,10,0,66,0,2,0,6.6,1.4,1,31.1,0.2,1.63,2018
115,Jamal Agnew,DET,1,WR,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,17,0,0,0,17.0,3.0,0,0.0,0.85,1.7,2018
116,Ryan Switzer,PIT,16,WR,44,36,0,253,0,1,0,2,81.8,3.39,5.75,7.03,3.78,6,0,21,0,0,0,3.5,2.5,0,63.5,0.17,1.22,2018
117,Jourdan Lewis,DAL,6,WR,1,0,0,0,0,0,0,0,0.0,-5.0,0.0,0.0,0.0,2,0,12,0,0,0,6.0,1.0,1,109.0,0.15,0.6,2018
118,Chester Rogers,IND,16,WR,71,53,0,485,0,2,0,7,74.6,6.83,6.83,9.15,4.91,1,0,-4,0,0,0,-4.0,0.0,0,76.3,0.15,1.6,2018
119,Cody Core,CIN,14,WR,28,13,0,160,0,1,0,3,46.4,13.93,5.71,12.31,2.46,0,0,0,0,0,0,0.0,0.0,0,38.5,0.09,2.19,2018
120,Keenan Reynolds,SEA,2,WR,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,2018
121,Tajae Sharpe,TEN,16,WR,46,26,0,316,1,2,0,2,56.5,11.93,6.87,12.15,3.08,1,0,16,0,0,0,16.0,2.0,0,1.6,0.1,2.16,2018
122,Tyler Boyd,CIN,14,WR,103,76,1,1028,3,7,0,3,73.8,9.56,9.98,13.53,5.55,2,0,3,0,0,0,1.5,1.5,0,112.8,0.24,2.35,2018
123,Adam Humphries,TB,16,WR,103,76,1,816,0,5,0,3,73.8,6.03,7.92,10.74,5.7,2,0,11,0,0,0,5.5,1.5,0,80.8,0.19,1.93,2018
124,Damiere Byrd,CAR,7,WR,2,1,0,8,0,0,0,0,50.0,11.5,4.0,8.0,1.0,0,0,0,0,0,0,0.0,0.0,0,1.4,0.03,1.3,2018
125,Eli Rogers,PIT,3,WR,13,12,0,79,0,0,0,0,92.3,4.54,6.08,6.58,3.33,1,0,-4,0,0,0,-4.0,4.0,0,6.7,0.12,1.04,2018
126,Jamison Crowder,WAS,9,WR,44,29,1,388,0,2,1,3,65.9,9.91,8.82,13.38,7.31,4,0,30,0,0,0,7.5,1.25,1,231.1,0.16,2.07,2018
