"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Matt Lengel","CIN","11","TE","7","3","0","17","0","1","0","0","42.9","5.86","2.43","5.67","2","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","9.2","0.07","3.07"
"Matt LaCosse","DEN","15","TE","34","24","1","250","0","1","0","1","70.6","5.71","7.35","10.42","6.17","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","43","0.1","1.79"
"Eric Tomlinson","NYJ","15","TE","13","8","0","72","0","0","0","2","61.5","3.54","5.54","9","11.13","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","11.2","0.03","1.4"
"Geoff Swaim","DAL","9","TE","30","26","1","242","0","1","0","0","86.7","3.6","8.07","9.31","6.35","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","43.2","0.08","1.66"
"Ben Koyack","JAX","7","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Darren Waller","OAK","4","TE","6","6","1","75","0","0","0","0","100","2.67","12.5","12.5","9.83","","","","","","","","","","","","1","0","21","0","0","0","21","5","0","0","0","","","","","","","","","0","0","12.6","0.3","1.8"
"A.J. Derby","MIA","4","TE","5","3","0","48","0","1","0","0","60","9.2","9.6","16","2.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","12.3","0.1","4.1"
"Nick Boyle","BLT","16","TE","31","23","0","213","0","0","0","3","74.2","3.45","6.87","9.26","6.26","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","32.8","0.05","1.43"
"Jesse James","PIT","16","TE","39","30","2","423","1","2","0","2","76.9","7.87","10.85","14.1","6.13","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","1","69.3","0.12","2.31"
"C.J. Uzomah","CIN","16","TE","63","43","0","439","0","3","0","4","68.3","7.78","6.97","10.21","4.67","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","83.4","0.1","1.94"
