"player","team","games","position","recTarg","recRec","recRec40s","recYds","recYds100Games","recTds","recTd40s","recDrops","catch","depth","ypt","ypr","rac","rzRecTarg","rzRecRec","rzRecTds","rzRecTargPct","rzRecRecPct","rzRecTdPct","ezRecTarg","ezRecTds","ezRecTargPct","ezRecRecPct","ezRecTdPct","rushCarries","rush40s","rushYds","rushYds100Games","rushTds","rushTd40s","ypc","yac","rushTa","tat","fumbles","rzRushCarries","rzRushTds","rzRushPct","rzRushTdPct","i5RushCarries","i5RushTds","i5RushPct","i5RushTdPct","patConversions","patAttempts","fantasyPts","ptsPerSnap","ptsPerTouch"
"Xavier Grimble","PIT","3","TE","3","1","0","3","0","0","0","1","33.3","3","1","3","3","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0.8","0.01","0.8"
"Michael Ola","NO","1","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Richard Rodgers","PHI","1","TE","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","0","0",""
"Eric Ebron","IND","11","TE","50","31","1","375","0","3","1","5","62","9.68","7.5","12.1","5.52","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","71","0.22","2.29"
"Darren Fells","HST","15","TE","47","34","0","341","0","7","0","3","72.3","5.74","7.26","10.03","4.85","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","93.1","0.13","2.74"
"Demetrius Harris","CLV","15","TE","27","15","0","149","0","3","0","3","55.6","9.48","5.52","9.93","4.47","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","1","1","40.4","0.07","2.69"
"Jack Doyle","IND","16","TE","70","43","0","448","0","4","0","2","61.4","6.96","6.4","10.42","5.19","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","1","","","","","","","","","0","1","90.3","0.11","2.1"
"Ryan Griffin","NYJ","13","TE","39","34","1","320","1","5","0","2","87.2","5.28","8.21","9.41","5.41","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","1","2","79","0.12","2.32"
"Luke Willson","SEA","8","TE","9","8","0","79","0","0","0","0","88.9","7","8.78","9.88","5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","11.9","0.05","1.49"
"Levine Toilolo","SF","13","TE","2","2","0","10","0","0","0","0","100","-2.5","5","5","7.5","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","0","0","2","0.01","1"
"Travis Kelce","KC","16","TE","130","97","3","1229","2","5","0","5","74.6","9.45","9.45","12.67","4.15","","","","","","","","","","","","1","0","4","0","1","0","4","1","1","1","1","","","","","","","","","0","0","207.8","0.21","2.12"
"Vance McDonald","PIT","14","TE","52","38","0","273","0","3","0","4","73.1","4.81","5.25","7.18","4.68","","","","","","","","","","","","1","0","2","0","0","0","2","1","0","0","1","","","","","","","","","0","0","64.5","0.09","1.65"
"Tyler Eifert","CIN","16","TE","62","43","0","436","0","3","0","4","69.4","8.73","7.03","10.14","2.63","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","1","1","83.1","0.17","1.93"
